w_base,alpha,tau,delta,f1_elitism,f2_excitement,f3_disaster
0.55,0.05,0.25,1,0.5720510192622983,0.750575594781274,0.058823529411764705
0.55,0.05,0.25,2,0.5566174645675448,0.7459708365310821,0.029411764705882353
0.55,0.05,0.3,0,0.6648114924582612,0.7689946277820414,0.058823529411764705
0.55,0.05,0.3,1,0.5720510192622983,0.750575594781274,0.058823529411764705
0.55,0.05,0.3,2,0.5566174645675448,0.7459708365310821,0.029411764705882353
0.55,0.1,0.2,0,0.6620834471488252,0.7689946277820414,0.058823529411764705
0.55,0.1,0.2,1,0.5601496625110565,0.750575594781274,0.058823529411764705
0.55,0.1,0.2,2,0.547305002143523,0.7459708365310821,0.029411764705882353
0.55,0.1,0.25,0,0.6620834471488252,0.7689946277820414,0.058823529411764705
0.55,0.1,0.25,1,0.5601496625110565,0.750575594781274,0.058823529411764705
0.55,0.1,0.25,2,0.547305002143523,0.7459708365310821,0.029411764705882353
0.55,0.1,0.3,0,0.6620834471488252,0.7689946277820414,0.058823529411764705
0.55,0.1,0.3,1,0.5601496625110565,0.750575594781274,0.058823529411764705
0.55,0.1,0.3,2,0.547305002143523,0.7459708365310821,0.029411764705882353
0.55,0.15,0.2,0,0.6637729239865988,0.7682271680736761,0.058823529411764705
0.55,0.15,0.2,1,0.5620830732999791,0.750575594781274,0.058823529411764705
0.55,0.15,0.2,2,0.5435803159964033,0.7467382962394474,0.029411764705882353
0.55,0.15,0.25,0,0.6637729239865988,0.7682271680736761,0.058823529411764705
0.55,0.15,0.25,1,0.5620830732999791,0.750575594781274,0.058823529411764705
0.55,0.15,0.25,2,0.5435803159964033,0.7467382962394474,0.029411764705882353
0.55,0.15,0.3,0,0.6637729239865988,0.7682271680736761,0.058823529411764705
0.55,0.15,0.3,1,0.5620830732999791,0.750575594781274,0.058823529411764705
0.55,0.15,0.3,2,0.5435803159964033,0.7467382962394474,0.029411764705882353
0.55,0.2,0.2,0,0.6613617067473919,0.7682271680736761,0.029411764705882353
0.55,0.2,0.2,1,0.5630526919166565,0.750575594781274,0.058823529411764705
0.55,0.2,0.2,2,0.5379331151316964,0.7467382962394474,0.029411764705882353
0.55,0.2,0.25,0,0.6613617067473919,0.7682271680736761,0.029411764705882353
0.55,0.2,0.25,1,0.5630526919166565,0.750575594781274,0.058823529411764705
0.55,0.2,0.25,2,0.5379331151316964,0.7467382962394474,0.029411764705882353
0.55,0.2,0.3,0,0.6613617067473919,0.7682271680736761,0.029411764705882353
0.55,0.2,0.3,1,0.5630526919166565,0.750575594781274,0.058823529411764705
0.55,0.2,0.3,2,0.5379331151316964,0.7467382962394474,0.029411764705882353
0.6,0.05,0.2,0,0.6564612847985256,0.7643898695318496,0.029411764705882353
0.6,0.05,0.2,1,0.5581311530232915,0.7498081350729087,0.058823529411764705
0.6,0.05,0.2,2,0.53732774503795,0.7459708365310821,0.029411764705882353
0.6,0.05,0.25,0,0.6564612847985256,0.7643898695318496,0.029411764705882353
0.6,0.05,0.25,1,0.5581311530232915,0.7498081350729087,0.058823529411764705
0.6,0.05,0.25,2,0.53732774503795,0.7459708365310821,0.029411764705882353
0.6,0.05,0.3,0,0.6564612847985256,0.7643898695318496,0.029411764705882353
0.6,0.05,0.3,1,0.5581311530232915,0.7498081350729087,0.058823529411764705
0.6,0.05,0.3,2,0.53732774503795,0.7459708365310821,0.029411764705882353
0.6,0.1,0.2,0,0.6583975837936482,0.7651573292402148,0.029411764705882353
0.6,0.1,0.2,1,0.5630526919166565,0.750575594781274,0.058823529411764705
0.6,0.1,0.2,2,0.53732774503795,0.7459708365310821,0.029411764705882353
0.6,0.1,0.25,0,0.6583975837936482,0.7651573292402148,0.029411764705882353
0.6,0.1,0.25,1,0.5630526919166565,0.750575594781274,0.058823529411764705
0.6,0.1,0.25,2,0.53732774503795,0.7459708365310821,0.029411764705882353
0.6,0.1,0.3,0,0.6583975837936482,0.7651573292402148,0.029411764705882353
0.6,0.1,0.3,1,0.5630526919166565,0.750575594781274,0.058823529411764705
0.6,0.1,0.3,2,0.53732774503795,0.7459708365310821,0.029411764705882353
0.6,0.15,0.2,0,0.6481041149504471,0.7659247889485802,0.029411764705882353
0.6,0.15,0.2,1,0.5581164516862986,0.750575594781274,0.058823529411764705
0.6,0.15,0.2,2,0.53236994040254,0.7459708365310821,0.029411764705882353
0.6,0.15,0.25,0,0.6481041149504471,0.7659247889485802,0.029411764705882353
0.6,0.15,0.25,1,0.5581164516862986,0.750575594781274,0.058823529411764705
0.6,0.15,0.25,2,0.53236994040254,0.7459708365310821,0.029411764705882353
0.6,0.15,0.3,0,0.6481041149504471,0.7659247889485802,0.029411764705882353
0.6,0.15,0.3,1,0.5581164516862986,0.750575594781274,0.058823529411764705
0.6,0.15,0.3,2,0.53236994040254,0.7459708365310821,0.029411764705882353
0.6,0.2,0.2,0,0.6464631341411124,0.7643898695318496,0.029411764705882353
0.6,0.2,0.2,1,0.5572285737541159,0.750575594781274,0.058823529411764705
0.6,0.2,0.2,2,0.53236994040254,0.7459708365310821,0.029411764705882353
0.6,0.2,0.25,0,0.6464631341411124,0.7643898695318496,0.029411764705882353
0.6,0.2,0.25,1,0.5572285737541159,0.750575594781274,0.058823529411764705
0.6,0.2,0.25,2,0.53236994040254,0.7459708365310821,0.029411764705882353
0.6,0.2,0.3,0,0.6464631341411124,0.7643898695318496,0.029411764705882353
0.6,0.2,0.3,1,0.5572285737541159,0.750575594781274,0.058823529411764705
0.6,0.2,0.3,2,0.53236994040254,0.7459708365310821,0.029411764705882353
0.65,0.05,0.2,0,0.6453045176710771,0.7620874904067536,0.029411764705882353
0.65,0.05,0.2,1,0.5479789628397516,0.7490406753645433,0.058823529411764705
0.65,0.05,0.2,2,0.5218123223778728,0.7459708365310821,0.029411764705882353
0.65,0.05,0.25,0,0.6453045176710771,0.7620874904067536,0.029411764705882353
0.65,0.05,0.25,1,0.5479789628397516,0.7490406753645433,0.058823529411764705
0.65,0.05,0.25,2,0.5218123223778728,0.7459708365310821,0.029411764705882353
0.65,0.05,0.3,0,0.6453045176710771,0.7620874904067536,0.029411764705882353
0.65,0.05,0.3,1,0.5479789628397516,0.7490406753645433,0.058823529411764705
0.65,0.05,0.3,2,0.5218123223778728,0.7459708365310821,0.029411764705882353
0.65,0.1,0.2,0,0.6383996578250409,0.7613200306983884,0.029411764705882353
0.65,0.1,0.2,1,0.5435016699912039,0.7498081350729087,0.058823529411764705
0.65,0.1,0.2,2,0.5296237995983712,0.7459708365310821,0.029411764705882353
0.65,0.1,0.25,0,0.6383996578250409,0.7613200306983884,0.029411764705882353
0.65,0.1,0.25,1,0.5435016699912039,0.7498081350729087,0.058823529411764705
0.65,0.1,0.25,2,0.5296237995983712,0.7459708365310821,0.029411764705882353
0.65,0.1,0.3,0,0.6383996578250409,0.7613200306983884,0.029411764705882353
0.65,0.1,0.3,1,0.5435016699912039,0.7498081350729087,0.058823529411764705
0.65,0.1,0.3,2,0.5296237995983712,0.7459708365310821,0.029411764705882353
0.65,0.15,0.2,0,0.628930040922902,0.7613200306983884,0.029411764705882353
0.65,0.15,0.2,1,0.5431761326623364,0.7498081350729087,0.058823529411764705
0.65,0.15,0.2,2,0.518122830882036,0.7459708365310821,0.029411764705882353
0.65,0.15,0.25,0,0.628930040922902,0.7613200306983884,0.029411764705882353
0.65,0.15,0.25,1,0.5431761326623364,0.7498081350729087,0.058823529411764705
0.65,0.15,0.25,2,0.518122830882036,0.7459708365310821,0.029411764705882353
0.65,0.15,0.3,0,0.628930040922902,0.7613200306983884,0.029411764705882353
0.65,0.15,0.3,1,0.5431761326623364,0.7498081350729087,0.058823529411764705
0.65,0.15,0.3,2,0.518122830882036,0.7459708365310821,0.029411764705882353
0.65,0.2,0.2,0,0.6171820593465114,0.7620874904067536,0.029411764705882353
0.65,0.2,0.2,1,0.548064953412787,0.7498081350729087,0.058823529411764705
0.65,0.2,0.2,2,0.5160219905459016,0.7459708365310821,0.029411764705882353
0.65,0.2,0.25,0,0.6171820593465114,0.7620874904067536,0.029411764705882353
0.65,0.2,0.25,1,0.548064953412787,0.7498081350729087,0.058823529411764705
0.65,0.2,0.25,2,0.5160219905459016,0.7459708365310821,0.029411764705882353
0.65,0.2,0.3,0,0.6171820593465114,0.7620874904067536,0.029411764705882353
0.65,0.2,0.3,1,0.548064953412787,0.7498081350729087,0.058823529411764705
0.65,0.2,0.3,2,0.5160219905459016,0.7459708365310821,0.029411764705882353
0.7,0.05,0.2,0,0.6082886537474337,0.758250191864927,0.029411764705882353
